Siralim Ultimate,,Version 1.0.4,,Please send any corrections and screenshots of new entries to me on Discord. EmptyPalms#9402,
Rodian Master,Luckmantria,Mastery Trait,Master of Luckmantrias,"If all the creatures in your party are Luckmantrias, they each have a 40% chance to start battles at the top of the Timeline. This trait does not stack.",Sigil of the Luckmantria
Chaos,Maniac,Armored Maniac,Meat Bomb,"After this creature provokes, it deals damage to all enemies equal to 50% of its missing Health. Then, it is killed.",Armored Foot
Chaos,Maniac,Maniac Builder,No Fear,"While your creatures are below 35% Health, they deal 100% more damage. This trait does not stack.",Builder Foot
Chaos,Maniac,Maniac Chief,Detonation,"After this creature Provokes, your other Maniacs are killed, and deal damage to all enemies equal to 25% of your affected creatures' Maximum Health.",Leader Foot
Chaos,Maniac,Maniac Huntsman,Bad Blood ,"After your creatures are killed, this creature afflicts enemies with Poisoned, Burning, and Bleeding.",Hunter Foot
Chaos,Maniac,Maniac Mutant,Cannibalistic Tendencies,"After your creatures Provoke, they are killed, and your other creatures gain 20% of their Attack, Intelligence, Defense, and Speed. This trait does not stack.",Mutant Foot
Chaos,Maniac,Maniac Warrior,Nice Haircut,"After your Maniacs are killed while it is an ally's turn, they have a 50% chance to be resurrected with 50% Health. This trait does not stack.",Warrior Foot
Nether Boss,Maniac,Loid,Loid's Laugh,"After an enemy Casts a spell, it loses 20% Intelligence and is afflicted with Silenced. This trait does not stack.",Loid's Boil
Nether Boss,Maniac,Loid,Loid's Pustulant Pimples,"After an enemy Defends or Provokes, it is afflicted with 3 random debuffs. This trait does not stack.",Loid's Hair
Nether Boss,Maniac,Loid,Loid's Visage,"After an enemy Attacks, it loses 20% Attack and is afflicted with Scorned. This trait does not stack.",Loid's Pimple
Rodian Master,Maniac,Mastery Trait,Master of Maniacs,Your Maniacs start battles with 25% more Health and 10% less Defense for each Maniac fighting on your side. This trait does not stack.,Sigil of the Maniac
Chaos,Manticore,Crimson Manticore,The Crimson,Enemies Attack as if they have 40% less Attack. This trait does not stack.,Crimson Tail
Chaos,Manticore,Flailing Manticore,Parry,"At the start of this creature's turn, it gains Defense equal to 50% of its Attack.",Flailing Tail
Chaos,Manticore,Manticore Conquerer,Whiplash,"After this creature Attacks, it also deals damage to 2 other enemies equal to 40% of its Attack.",Conqueror Tail
Chaos,Manticore,Manticore Decimator,Beast Within,"After your creatures gain a stat other than Attack, they gain 50% of that stat as Attack as well. This trait does not stack.",Decimator Tail
Chaos,Manticore,Martyaxwar,Mouth For War,"After this creature Casts a single-target spell on an enemy, it also Attacks that enemy 2 times.",Martyaxwar Tail
Chaos,Manticore,Prowling Manticore,Covert,The Timeline order is determined by your creatures' Attack rather than their Speed.,Prowling Tail
Chaos,Manticore,Sabertooth Manticore,Conservation,"At the start of this creature's turn, it gains Defense equal to 30% of its highest stat.",Sabertooth Tail
Chaos,Manticore,Sawback Manticore,Razor Hide,"After this creature is Attacked, it deals damage equal to 75% of its Attack to the enemy.",Sawback Tail
Rodian Master,Manticore,Mastery Trait,Master of Manticores,Enemies have 5% less Attack and your creatures have 15% more Attack and Defense for each Manticore fighting on your side. This trait does not stack.,Sigil of the Manticore
Sorcery,Masochist,Favored Masochist,Lust For Punishment,Your creatures deal 40% more damage for each debuff they have. This trait does not stack.,Favored Stake
Sorcery,Masochist,Lurid Masochist,Purge,"At the start of your creatures' turns, each of their debuffs has a 35% chance to be removed. This trait does not stack.",Lurid Stake
Sorcery,Masochist,Macabre Masochist,Boon to Bane,"When an enemy creature would gain a buff, they have a 50% chance to gain a debuff instead. This trait does not stack.",Macabre Stake
Sorcery,Masochist,Masochist Angler,Under Stress,Your creatures have an independent 20% chance to Dodge attacks and deal Critical damage for each debuff they have. This trait does not stack.,Angler Stake
Sorcery,Masochist,Masochist Freak,Redefined,"Your creatures' traits and other effects that are influenced by the number of buffs they have also count their debuffs as well, and vice versa.",Freak Stake
Sorcery,Masochist,Masochist Witch,Binary Affliction,"After this creature Attacks, it gains a random buff and afflicts its target with a random debuff.",Witch Stake
Sorcery,Masochist,Sadomasochist,Vendetta,This creature Attacks and Casts an additional number of times equal to the number of debuffs it has.,Sadomasochist Stake
Sorcery,Masochist,Sanguine Masochist,Phlebotomize,"After this creature Defends, it removes its debuffs and heals your creatures for 50% Health for each debuff removed.",Sanguine Stake
Nether Boss,Masochist,Phobos,Bladedancing,"When your creatures deal critical damage, they have a 30% chance to attack the target again. This effect can repeat multiple times in a row.",Phobos' Shortsword
Nether Boss,Masochist,Phobos,Butterfly Touch,"When this creature takes damage, the amount of damage taken is reduced by 15% for each creature between it and the enemy on the Timeline.",Phobos' Crest
Nether Boss,Masochist,Phobos,Phobos' Grip,"When your creatures with Proficient Attack, they afflict their target with Snared.",Phobos' Unrelenting Grasp
Rodian Master,Masochist,Mastery Trait,Master of Masochists,"If all the creatures in your party are Masochists, they are resistant to debuffs and take 30% less damage from all sources. This trait does not stack.",Sigil of the Masochist
Chaos,Mimic,Gift Mimic,Nothing But Coal,"When this creature dies, it deals damage to enemies equal to 35% of its Attack.",Mimic Gift
Chaos,Mimic,Killer Cooler,Hydration,"At the start of battle, this creature gains 5 random traits.",Killer Drink
Chaos,Mimic,Mimic,Surprise!,"This creature always starts battle at the top of the Timeline. [As an enemy, also has 5 random buffs.]",No Material Exists
Chaos,Mimic,Pandora,Pandora's Box,"At the start of battle, this creature Casts 5 random spells, one from each class.",No Material Exists
Nether Boss,Mimic,Kraynaks,Giftwrapped Army,"At the start of battle, your Mimic creatures gain a random buff for each Mimic fighting on your side. This trait does not stack.",Kraynaks' Plank
Nether Boss,Mimic,Kraynaks,Sad Birthday Song,"After this creature is killed, it transforms into an enemy creature.",Kraynaks' Tooth
Nether Boss,Mimic,Kraynaks,Ultimate Trickery,"At the start of battle, this creature transforms into a copy of the second creature in your party, gains the innate trait of the third creature in your party, and gains
the fused trait of the fourth creature in your party. This creature always starts battles at the bottom of the Timeline.",Kraynaks' Tongue
Rodian Master,Mimic,Mastery Trait,Master of Mimics,"If all the creatures in your party are Mimics, they each have a 25% chance to start battles at the top of the Timeline. This trait does not stack.",Sigil of the Mimic
Chaos,Minotaur,Minotaur Battlemaster,Resolve,"While this creature is below 50% Health, it is immune to debuffs and takes 50% less damage.",Battlemaster Plate
Chaos,Minotaur,Minotaur Behemoth,Seeing Red,"While your creatures are below 75% Health, they have Berserk and take 25% less damage. This trait does not stack.",Behemoth Plate
Chaos,Minotaur,Minotaur Earthshaker,Fracture,"After this creature is Attacked, it deals 50% of the damage taken to all enemies. This damage cannot exceed 100% of your creature's Maximum Health.",Earthshaker Plate
Chaos,Minotaur,Minotaur Juggernaut,Flesh Wound,"After this creature takes damage while below 50% Health, it gains a Barrier that absorbs damage equal to 100% of its Maximum Health.",Juggernaut Plate
Chaos,Minotaur,Minotaur Lancer,Piercing Focus,This creature's attacks ignore 1% of the target's Defense for every 1% Health this creature is missing.,Lancer Plate
Chaos,Minotaur,Minotaur Skullcrusher,Rise to Fall,"After this creature Attacks, it recovers 30% Health. In addition, this creature receives 5% more healing from all sources for every 1% of Health it is missing.",Skullcrusher Plate
Chaos,Minotaur,Minotaur Warrior,Blood Crazed,"After this creature is Attacked, it gains 35% Attack and recovers Health equal to 40% of the damage taken.",Warrior Plate
Rodian Master,Minotaur,Mastery Trait,Master of Minotaurs,Your Minotaurs Attack 1 additional time for each Minotaur fighting on your side. Your creatures deal 50% less damage. This trait does not stack.,Sigil of the Minotaur
Nature,Mite,Mite Gravedigger,Cradle to the Grave,"After your creatures are killed, they have a 15% chance to resurrect with 50% Health for each dead creature on your side. This trait does not stack.",Gravedigger Goo
Nature,Mite,Mite Interloper,Corrosion,"After this creature Attacks, it afflicts the target with Blighted. If the target is already afflicted with Blighted, the target is healed for 100% of the amount of damage dealt.",Interloper Goo
Nature,Mite,Mite Invader,Neon Grave,"After this creature attacks, it has a 35% chance to cast Affliction.",Invader Goo
Nature,Mite,Mite Paralyzer,Swell,"After this creature Attacks, it afflicts the target with a random debuff for each debuff the target already has.",Paralyzer Goo
Nature,Mite,Mite Plaguespreader,Villainy Thrives,The potency of the enemies' Poisoned and Burning debuffs are shared with each other. This trait does not stack.,Plaguespreader Goo
Nature,Mite,Mite Skirmisher,Intensify,"After this creature Attacks, it increases the potency of the target's Poisoned and Burning debuffs by 50%.",Skirmisher Goo
Nature,Mite,Mite Webweaver,Viscous Webs,Enemies take 25% more damage for each debuff they have that they're resistant to. This trait does not stack.,Webweaver Goo
Rodian Master,Mite,Mastery Trait,Master of Mites,Your Mites have a 5% chance to avoid damage for each Mite fighting on your side. This trait does not stack.,Sigil of the Mite
Sorcery,Modron,Bio Bot,Big Brained,Your creatures are immune to Confused.,Bio Scrap
Sorcery,Modron,Brave Little Bot,Bravely Inspired,"After this creature is killed, it grants your other creatures 25% of its stats.",Dull Scrap
Sorcery,Modron,Junkyard Bot,Junkyard Might,"This creature is immune to Blighted, Confused, and Poisoned.",Junkyard Scrap
Sorcery,Modron,Sentry Bot,Shall Not Pass,"After your creatures take damage that exceeds 25% of their Maximum Health, they gain a Barrier that absorbs damage equal to 100% of the damage taken.
This trait does not stack.",Shield Scrap
Sorcery,Modron,Wizard's Companion,Uninterrupted,Your creatures have a 50% chance to avoid Silenced and Scorned. This trait does not stack.,Enchanted Scrap
Sorcery,Modron,Wizard's Defender,Protect the Glass Cannon,"After your creatures manually Cast a spell, they Defend. This trait does not stack.",Sentry Scrap
Rodian Master,Modron,Mastery Trait,Master of Modrons,"If all the creatures in your party are Modrons, they are resistant to debuffs and take 20% less damage. This trait does not stack.",Sigil of the Modron
Nature,Mogwai,Mogwai,No Sanctuary,"The damage of this creature's attacks and the potency of this creature's spells is based on its Speed, rather than its Attack or Intelligence.",Mogwai's Sanctuary
Death,Mummy,Creep Mummy,Inner Hatred,Your creatures have 100% more Attack. This trait is ignored when your creatures Attack. This trait does not stack.,Creep Wrappings
Death,Mummy,Doom Mummy,Exploitation,Your creatures have 20% more Attack and Intelligence for each enemy that is afflicted with Cursed. This trait does not stack.,Doom Wrappings
Death,Mummy,Gimp Mummy,Gimp Touch,This creature's attacks deal 75% more damage and afflict Cursed.,Gimp Wrappings
Death,Mummy,Mummy Lord,Pharaoh's Beckoning,"After this creature Attacks, the target is forced to attack this creature 3 times. These attacks deal 25% normal damage.",Lord Wrappings
Death,Mummy,Nightmare Mummy,Mockery,Your creatures take 30% less damage (up to 90%) from spells for each enemy that is afflicted with Cursed. This trait does not stack.,Nightmare Wrappings
Death,Mummy,Scourge Mummy,Curse of the Outspoken,"After an enemy Casts a spell, this creature afflicts it with Cursed and Vulnerable.",Scourge Wrappings
Death,Mummy,Swarm Mummy,Sorrow,Enemies with Cursed take 50% more damage from this debuff. This trait does not stack.,Swarm Wrappings
